2026-06-25 22:45:08,237 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-25 22:45:08,725 | INFO | utils.helpers | Memory Reduced : 8.52 MB -> 8.47 MB
2026-06-25 22:48:07,480 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-25 22:48:07,587 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-25 22:48:07,686 | INFO | agents.profiler_agent | Profiling Complete
2026-06-25 22:54:02,648 | INFO | utils.helpers | Loading dataset : data/superstore.csv
2026-06-25 22:54:23,441 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-25 22:54:23,543 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-25 22:54:23,649 | INFO | agents.profiler_agent | Profiling Complete
2026-06-25 22:54:23,658 | INFO | analyzer.overview | Running Overview Analysis
2026-06-25 23:44:22,963 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-25 23:44:23,378 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-25 23:44:23,868 | INFO | agents.profiler_agent | Profiling Complete
2026-06-25 23:44:23,869 | INFO | analyzer.overview | Running Overview Analysis
2026-06-25 23:45:06,430 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-25 23:45:06,536 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-25 23:45:06,599 | INFO | agents.profiler_agent | Profiling Complete
2026-06-25 23:45:06,599 | INFO | analyzer.overview | Running Overview Analysis
2026-06-26 00:30:02,692 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-26 00:30:02,947 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 00:30:03,273 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 00:30:37,283 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-26 00:30:37,373 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 00:30:37,427 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 00:30:51,212 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-26 00:30:51,304 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 00:30:51,343 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 00:30:51,343 | INFO | analyzer.data_quality | Running Data Quality Analysis
2026-06-26 00:31:01,173 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-26 00:31:01,269 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 00:31:01,326 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 00:31:01,326 | INFO | analyzer.data_quality | Running Data Quality Analysis
2026-06-26 00:46:26,936 | INFO | utils.helpers | Loading dataset : data/superstore.csv
2026-06-26 00:46:40,144 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-26 00:46:40,534 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 00:46:40,722 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 00:46:40,723 | INFO | analyzer.numerical | Running Numerical Analysis
2026-06-26 00:50:20,561 | INFO | utils.helpers | Loading dataset : data/superstore.csv
2026-06-26 00:50:45,911 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-26 00:50:45,986 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 00:50:46,079 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 00:50:46,080 | INFO | analyzer.categorical | Running Categorical Analysis
2026-06-26 12:07:21,727 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-26 12:07:22,108 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 12:07:22,318 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 12:07:22,318 | INFO | analyzer.correlation | Running correlation analysis
2026-06-26 12:08:19,506 | INFO | utils.helpers | Loading dataset : data/WA_Fn-UseC_-Telco-Customer-Churn.csv
2026-06-26 12:08:19,556 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 12:08:19,573 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 12:08:19,573 | INFO | analyzer.correlation | Running correlation analysis
2026-06-26 12:08:39,543 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-26 12:08:39,614 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 12:08:39,629 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 12:08:39,630 | INFO | analyzer.data_quality | Running Data Quality Analysis
2026-06-26 12:08:52,379 | INFO | utils.helpers | Loading dataset : data/WA_Fn-UseC_-Telco-Customer-Churn.csv
2026-06-26 12:08:52,423 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 12:08:52,440 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 12:08:52,441 | INFO | analyzer.data_quality | Running Data Quality Analysis
2026-06-26 12:09:32,749 | INFO | utils.helpers | Loading dataset : data/WA_Fn-UseC_-Telco-Customer-Churn.csv
2026-06-26 12:09:32,790 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 12:09:32,804 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 12:09:32,804 | INFO | analyzer.numerical | Running Numerical Analysis
2026-06-26 12:11:20,079 | INFO | utils.helpers | Loading dataset : data/SampleSuperstore.csv
2026-06-26 12:11:20,160 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 12:11:20,223 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 12:11:20,223 | INFO | analyzer.numerical | Running Numerical Analysis
2026-06-26 12:11:30,883 | INFO | utils.helpers | Loading dataset : data/WA_Fn-UseC_-Telco-Customer-Churn.csv
2026-06-26 12:11:30,922 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 12:11:30,937 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 12:11:30,937 | INFO | analyzer.correlation | Running correlation analysis
2026-06-26 12:11:40,849 | INFO | utils.helpers | Loading dataset : data/WA_Fn-UseC_-Telco-Customer-Churn.csv
2026-06-26 12:11:40,892 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 12:11:40,908 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 12:11:40,908 | INFO | analyzer.correlation | Running correlation analysis
2026-06-26 12:12:42,411 | INFO | utils.helpers | Loading dataset : data/WA_Fn-UseC_-Telco-Customer-Churn.csv
2026-06-26 12:12:42,448 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 12:12:42,463 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 12:12:42,463 | INFO | analyzer.correlation | Running correlation analysis
2026-06-26 12:13:06,899 | INFO | utils.helpers | Loading dataset : data/WA_Fn-UseC_-Telco-Customer-Churn.csv
2026-06-26 12:13:06,943 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 12:13:06,961 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 12:13:06,962 | INFO | analyzer.correlation | Running Correlation Analysis
2026-06-26 12:14:08,642 | INFO | utils.helpers | Loading dataset : data/SampleSuperstore.csv
2026-06-26 12:14:08,673 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 12:14:08,687 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 12:14:08,687 | INFO | analyzer.correlation | Running Correlation Analysis
2026-06-26 12:15:27,313 | INFO | utils.helpers | Loading dataset : data/SampleSuperstore.csv
2026-06-26 12:15:27,359 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 12:15:27,385 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 12:15:27,385 | INFO | analyzer.correlation | Running Correlation Analysis
2026-06-26 12:20:02,130 | INFO | utils.helpers | Loading dataset : data/Listings.csv
2026-06-26 12:20:09,423 | INFO | utils.helpers | Loading dataset : data/Listings.csv
2026-06-26 17:05:49,785 | INFO | utils.helpers | Loading dataset : data/winequality-red.csv
2026-06-26 17:05:49,986 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 17:05:50,101 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 17:05:50,101 | INFO | analyzer.correlation | Running Correlation Analysis
2026-06-26 17:06:14,278 | INFO | utils.helpers | Loading dataset : data/winequality-red.csv
2026-06-26 17:06:14,288 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 17:06:14,299 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 17:06:14,299 | INFO | analyzer.correlation | Running Correlation Analysis
2026-06-26 17:26:22,644 | INFO | utils.helpers | Loading dataset : data/winequality-red.csv
2026-06-26 17:26:22,878 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 17:26:22,998 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 17:26:22,999 | INFO | analyzer.relationships | running relationship analysis
2026-06-26 17:27:15,033 | INFO | utils.helpers | Loading dataset : data/winequality-red.csv
2026-06-26 17:27:15,045 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 17:27:15,052 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 17:27:15,052 | INFO | analyzer.relationships | running relationship analysis
2026-06-26 17:27:56,136 | INFO | utils.helpers | Loading dataset : data/winequality-red.csv
2026-06-26 17:27:56,148 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 17:27:56,162 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 17:27:56,163 | INFO | analyzer.relationships | Running Relationship Analysis
2026-06-26 20:26:37,882 | INFO | utils.helpers | Loading dataset : data/winequality-red.csv
2026-06-26 20:26:38,065 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-26 20:27:09,380 | INFO | utils.helpers | Loading dataset : data/winequality-red.csv
2026-06-26 20:27:09,399 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-26 20:27:25,789 | INFO | utils.helpers | Loading dataset : data/winequality-red.csv
2026-06-26 20:27:25,800 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-26 20:28:26,142 | INFO | utils.helpers | Loading dataset : data/winequality-red.csv
2026-06-26 20:28:26,172 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-26 20:28:26,257 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-26 20:46:13,218 | INFO | utils.helpers | Loading dataset : data/winequality-red.csv
2026-06-26 20:46:13,312 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-26 20:46:13,379 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-26 20:46:13,379 | INFO | profiling.semantic_reasoner | Running Semantic Reasoner
2026-06-26 20:47:00,125 | INFO | utils.helpers | Loading dataset : data/winequality-red.csv
2026-06-26 20:47:00,150 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-26 20:47:00,181 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-26 20:47:00,181 | INFO | profiling.semantic_reasoner | Running Semantic Reasoner
2026-06-26 20:47:00,184 | INFO | profiling.semantic_reasoner | Semantic Reasoning Complete.
2026-06-26 20:47:43,888 | INFO | utils.helpers | Loading dataset : data/winequality-red.csv
2026-06-26 20:47:43,898 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-26 20:47:43,920 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-26 20:47:43,921 | INFO | profiling.semantic_reasoner | Running Semantic Reasoner
2026-06-26 20:47:43,922 | INFO | profiling.semantic_reasoner | Semantic Reasoning Complete.
2026-06-26 20:47:57,491 | INFO | utils.helpers | Loading dataset : data/winequality-red.csv
2026-06-26 20:47:57,519 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-26 20:47:57,552 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-26 20:47:57,553 | INFO | profiling.semantic_reasoner | Running Semantic Reasoner
2026-06-26 20:47:57,553 | INFO | profiling.semantic_reasoner | Semantic Reasoning Complete.
2026-06-26 20:48:44,725 | INFO | utils.helpers | Loading dataset : data/winequality-red.csv
2026-06-26 20:48:44,831 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-26 20:48:44,848 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-26 20:48:44,849 | INFO | profiling.semantic_reasoner | Running Semantic Reasoner
2026-06-26 20:48:44,850 | INFO | profiling.semantic_reasoner | Semantic Reasoning Complete.
2026-06-26 20:50:05,785 | INFO | utils.helpers | Loading dataset : data/metflix_titles.csv
2026-06-26 20:50:15,245 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-26 20:50:15,531 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-26 20:50:15,812 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-26 20:50:15,813 | INFO | profiling.semantic_reasoner | Running Semantic Reasoner
2026-06-26 20:50:15,813 | INFO | profiling.semantic_reasoner | Semantic Reasoning Complete.
2026-06-26 20:50:35,380 | INFO | utils.helpers | Loading dataset : data/SampleSuperstore.csv
2026-06-26 20:50:35,533 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-26 20:50:35,579 | INFO | profiling.column_profiler | 13 columns profiled
2026-06-26 20:50:35,580 | INFO | profiling.semantic_reasoner | Running Semantic Reasoner
2026-06-26 20:50:35,580 | INFO | profiling.semantic_reasoner | Semantic Reasoning Complete.
2026-06-26 22:59:53,772 | ERROR | llm.parser | Unable to parse JSON from LLM Respose
2026-06-26 23:00:27,268 | ERROR | llm.parser | Unable to parse JSON from LLM response.
2026-06-26 23:03:28,254 | ERROR | llm.parser | JSON Decode Error: Expecting value: line 2 column 15 (char 42)
2026-06-26 23:03:28,258 | ERROR | llm.parser | {"dataset_type" : "Retail",
 "metrics" : ['Sales;, 'Profit']
}
2026-06-26 23:03:36,165 | ERROR | llm.parser | JSON Decode Error: Expecting value: line 2 column 15 (char 42)
2026-06-26 23:03:36,166 | ERROR | llm.parser | {"dataset_type" : "Retail",
 "metrics" : ['Sales;, 'Profit']
}
2026-06-26 23:20:31,475 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-26 23:20:32,013 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 23:20:32,241 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 23:20:32,242 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-26 23:20:32,296 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-26 23:20:32,296 | INFO | agents.planner_agent | Generating analysis plan....
2026-06-26 23:20:34,330 | ERROR | llm.ollama_client | Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download
2026-06-26 23:20:34,330 | ERROR | agents.planner_agent | Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download
2026-06-26 23:20:34,331 | WARNING | agents.planner_agent | Using fallback execution plan
2026-06-26 23:21:27,208 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-26 23:21:27,410 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-26 23:21:27,482 | INFO | agents.profiler_agent | Profiling Complete
2026-06-26 23:21:27,482 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-26 23:21:27,534 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-26 23:21:27,534 | INFO | agents.planner_agent | Generating analysis plan....
2026-06-26 23:21:33,982 | ERROR | llm.ollama_client | llama runner process has terminated: error loading model: unable to allocate CPU buffer (status code: 500)
2026-06-26 23:21:33,983 | ERROR | agents.planner_agent | llama runner process has terminated: error loading model: unable to allocate CPU buffer (status code: 500)
2026-06-26 23:21:33,983 | WARNING | agents.planner_agent | Using fallback execution plan
2026-06-27 10:51:11,810 | INFO | llm.ollama_client | LLM response generated
2026-06-27 10:56:51,614 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-27 10:56:52,235 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-27 10:56:52,470 | INFO | agents.profiler_agent | Profiling Complete
2026-06-27 10:56:52,470 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-27 10:56:52,532 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-27 10:56:52,532 | INFO | agents.planner_agent | Generating analysis plan....
2026-06-27 10:57:25,798 | INFO | llm.ollama_client | LLM response generated
2026-06-27 11:10:58,844 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-27 11:10:59,303 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-27 11:10:59,503 | INFO | agents.profiler_agent | Profiling Complete
2026-06-27 11:10:59,503 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-27 11:10:59,546 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-27 11:10:59,546 | INFO | agents.planner_agent | Generating analysis plan....
2026-06-27 11:11:08,484 | INFO | llm.ollama_client | LLM response generated
2026-06-27 11:25:46,921 | INFO | llm.ollama_client | LLM response generated
2026-06-27 11:25:46,947 | INFO | agents.planner_agent | Planner completed successfully
2026-06-27 11:34:21,265 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-27 11:34:21,706 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-27 11:34:21,992 | INFO | agents.profiler_agent | Profiling Complete
2026-06-27 11:34:21,992 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-27 11:34:22,035 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-27 11:34:22,035 | INFO | agents.planner_agent | Generating analysis plan....
2026-06-27 11:34:58,657 | INFO | llm.ollama_client | LLM response generated
2026-06-27 11:44:10,724 | INFO | llm.ollama_client | LLM response generated
2026-06-27 11:44:10,737 | INFO | agents.planner_agent | Planner completed successfully
2026-06-27 12:06:11,355 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-27 12:06:11,821 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-27 12:06:12,147 | INFO | agents.profiler_agent | Profiling Complete
2026-06-27 12:06:12,148 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-27 12:06:12,195 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-27 12:06:12,195 | INFO | agents.planner_agent | Generating analysis plan....
2026-06-27 12:09:47,359 | INFO | llm.ollama_client | LLM response generated
2026-06-27 12:09:47,364 | INFO | agents.planner_agent | Planner completed successfully
2026-06-27 12:16:32,909 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-27 12:16:33,040 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-27 12:16:33,066 | INFO | agents.profiler_agent | Profiling Complete
2026-06-27 12:16:33,066 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-27 12:16:33,102 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-27 12:16:33,102 | INFO | agents.planner_agent | Generating analysis plan....
2026-06-27 12:18:57,403 | INFO | llm.ollama_client | LLM response generated
2026-06-27 12:18:57,406 | INFO | agents.planner_agent | Planner completed successfully
2026-06-27 12:39:19,358 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-27 12:39:19,841 | INFO | agents.report_agent | Generating Complete Report
2026-06-27 12:39:19,842 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-27 12:39:20,099 | INFO | agents.profiler_agent | Profiling Complete
2026-06-27 12:39:20,100 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-27 12:39:20,146 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-27 12:39:20,147 | INFO | agents.planner_agent | Generating analysis plan....
2026-06-27 12:42:35,056 | INFO | llm.ollama_client | LLM response generated
2026-06-27 12:42:35,069 | INFO | agents.planner_agent | Planner completed successfully
2026-06-27 12:42:35,070 | INFO | analyzer.overview | Running Overview Analysis
2026-06-27 12:42:35,070 | INFO | analyzer.data_quality | Running Data Quality Analysis
2026-06-27 12:42:35,334 | INFO | analyzer.numerical | Running Numerical Analysis
2026-06-27 12:42:35,381 | INFO | analyzer.categorical | Running Categorical Analysis
2026-06-27 12:42:35,526 | INFO | analyzer.correlation | Running Correlation Analysis
2026-06-27 12:42:35,526 | INFO | analyzer.relationships | Running Relationship Analysis
2026-06-27 12:43:37,030 | INFO | utils.helpers | Loading dataset : data/netflix_titles.csv
2026-06-27 12:43:37,356 | INFO | agents.report_agent | Generating Complete Report
2026-06-27 12:43:37,356 | INFO | agents.profiler_agent | Starting dataset profiling...
2026-06-27 12:43:37,606 | INFO | agents.profiler_agent | Profiling Complete
2026-06-27 12:43:37,606 | INFO | profiling.column_profiler | Profiling individual columns...
2026-06-27 12:43:37,640 | INFO | profiling.column_profiler | 12 columns profiled
2026-06-27 12:43:37,641 | INFO | agents.planner_agent | Generating analysis plan....
2026-06-27 12:46:11,709 | INFO | llm.ollama_client | LLM response generated
2026-06-27 12:46:11,710 | INFO | agents.planner_agent | Planner completed successfully
2026-06-27 12:46:11,712 | INFO | analyzer.overview | Running Overview Analysis
2026-06-27 12:46:11,712 | INFO | analyzer.data_quality | Running Data Quality Analysis
2026-06-27 12:46:12,210 | INFO | analyzer.numerical | Running Numerical Analysis
2026-06-27 12:46:12,219 | INFO | analyzer.categorical | Running Categorical Analysis
2026-06-27 12:46:12,282 | INFO | analyzer.correlation | Running Correlation Analysis
2026-06-27 12:46:12,282 | INFO | analyzer.relationships | Running Relationship Analysis
